emoji,unicode,category,has_modifiers
🐲,\U0001f432,animals & nature,False
🌵,\U0001f335,animals & nature,False
🎄,\U0001f384,animals & nature,False
🌲,\U0001f332,animals & nature,False
🌳,\U0001f333,animals & nature,False
🌴,\U0001f334,animals & nature,False
🪵,\U0001fab5,animals & nature,False
🌱,\U0001f331,animals & nature,False
🌿,\U0001f33f,animals & nature,False
☘️,\u2618\ufe0f,animals & nature,False
🍀,\U0001f340,animals & nature,False
🎍,\U0001f38d,animals & nature,False
🪴,\U0001fab4,animals & nature,False
🎋,\U0001f38b,animals & nature,False
🍃,\U0001f343,animals & nature,False
🍂,\U0001f342,animals & nature,False
🍁,\U0001f341,animals & nature,False
🪺,\U0001faba,animals & nature,False
🪹,\U0001fab9,animals & nature,False
🍄,\U0001f344,animals & nature,False
🐚,\U0001f41a,animals & nature,False
🪸,\U0001fab8,animals & nature,False
🪨,\U0001faa8,animals & nature,False
🌾,\U0001f33e,animals & nature,False
💐,\U0001f490,animals & nature,False
🌷,\U0001f337,animals & nature,False
🌹,\U0001f339,animals & nature,False
🥀,\U0001f940,animals & nature,False
🪻,\U0001fabb,animals & nature,False
🪷,\U0001fab7,animals & nature,False
🌺,\U0001f33a,animals & nature,False
🌸,\U0001f338,animals & nature,False
🌼,\U0001f33c,animals & nature,False
🌻,\U0001f33b,animals & nature,False
🌞,\U0001f31e,animals & nature,False
🌝,\U0001f31d,animals & nature,False
🌛,\U0001f31b,animals & nature,False
🌜,\U0001f31c,animals & nature,False
🌚,\U0001f31a,animals & nature,False
🌕,\U0001f315,animals & nature,False
🌖,\U0001f316,animals & nature,False
🌗,\U0001f317,animals & nature,False
🌘,\U0001f318,animals & nature,False
🌑,\U0001f311,animals & nature,False
🌒,\U0001f312,animals & nature,False
🌓,\U0001f313,animals & nature,False
🌔,\U0001f314,animals & nature,False
🌙,\U0001f319,animals & nature,False
🌎,\U0001f30e,animals & nature,False
🌍,\U0001f30d,animals & nature,False
🌏,\U0001f30f,animals & nature,False
🪐,\U0001fa90,animals & nature,False
💫,\U0001f4ab,animals & nature,False
⭐,\u2b50,animals & nature,False
🌟,\U0001f31f,animals & nature,False
✨,\u2728,animals & nature,False
⚡,\u26a1,animals & nature,False
☄️,\u2604\ufe0f,animals & nature,False
💥,\U0001f4a5,animals & nature,False
🔥,\U0001f525,animals & nature,False
🌪️,\U0001f32a\ufe0f,animals & nature,False
🌈,\U0001f308,animals & nature,False
☀️,\u2600\ufe0f,animals & nature,False
🌤️,\U0001f324\ufe0f,animals & nature,False
⛅,\u26c5,animals & nature,False
🌥️,\U0001f325\ufe0f,animals & nature,False
☁️,\u2601\ufe0f,animals & nature,False
🌦️,\U0001f326\ufe0f,animals & nature,False
🌧️,\U0001f327\ufe0f,animals & nature,False
⛈️,\u26c8\ufe0f,animals & nature,False
🌩️,\U0001f329\ufe0f,animals & nature,False
🌨️,\U0001f328\ufe0f,animals & nature,False
❄️,\u2744\ufe0f,animals & nature,False
☃️,\u2603\ufe0f,animals & nature,False
⛄,\u26c4,animals & nature,False
🌬️,\U0001f32c\ufe0f,animals & nature,False
💨,\U0001f4a8,animals & nature,False
💧,\U0001f4a7,animals & nature,False
💦,\U0001f4a6,animals & nature,False
🫧,\U0001fae7,animals & nature,False
☔,\u2614,animals & nature,False
☂️,\u2602\ufe0f,animals & nature,False
🌊,\U0001f30a,animals & nature,False
🌫️,\U0001f32b\ufe0f,animals & nature,False
🍏,\U0001f34f,eat & drink,False
🍎,\U0001f34e,eat & drink,False
🍐,\U0001f350,eat & drink,False
🍊,\U0001f34a,eat & drink,False
🍋,\U0001f34b,eat & drink,False
🍌,\U0001f34c,eat & drink,False
🍉,\U0001f349,eat & drink,False
🍇,\U0001f347,eat & drink,False
🍓,\U0001f353,eat & drink,False
🫐,\U0001fad0,eat & drink,False
🍈,\U0001f348,eat & drink,False
🍒,\U0001f352,eat & drink,False
🍑,\U0001f351,eat & drink,False
🥭,\U0001f96d,eat & drink,False
🍍,\U0001f34d,eat & drink,False
🥥,\U0001f965,eat & drink,False
🥝,\U0001f95d,eat & drink,False
🍅,\U0001f345,eat & drink,False
🍆,\U0001f346,eat & drink,False
🥑,\U0001f951,eat & drink,False
🫛,\U0001fadb,eat & drink,False
🥦,\U0001f966,eat & drink,False
🥬,\U0001f96c,eat & drink,False
🥒,\U0001f952,eat & drink,False
🌶️,\U0001f336\ufe0f,eat & drink,False
🫑,\U0001fad1,eat & drink,False
🌽,\U0001f33d,eat & drink,False
🥕,\U0001f955,eat & drink,False
🫒,\U0001fad2,eat & drink,False
🧄,\U0001f9c4,eat & drink,False
🧅,\U0001f9c5,eat & drink,False
🥔,\U0001f954,eat & drink,False
🍠,\U0001f360,eat & drink,False
🫚,\U0001fada,eat & drink,False
🥐,\U0001f950,eat & drink,False
🥯,\U0001f96f,eat & drink,False
🍞,\U0001f35e,eat & drink,False
🥖,\U0001f956,eat & drink,False
🥨,\U0001f968,eat & drink,False
🧀,\U0001f9c0,eat & drink,False
🥚,\U0001f95a,eat & drink,False
🍳,\U0001f373,eat & drink,False
🧈,\U0001f9c8,eat & drink,False
🥞,\U0001f95e,eat & drink,False
🧇,\U0001f9c7,eat & drink,False
🥓,\U0001f953,eat & drink,False
🥩,\U0001f969,eat & drink,False
🍗,\U0001f357,eat & drink,False
🍖,\U0001f356,eat & drink,False
🦴,\U0001f9b4,eat & drink,False
🌭,\U0001f32d,eat & drink,False
🍔,\U0001f354,eat & drink,False
🍟,\U0001f35f,eat & drink,False
🍕,\U0001f355,eat & drink,False
🫓,\U0001fad3,eat & drink,False
🥪,\U0001f96a,eat & drink,False
🥙,\U0001f959,eat & drink,False
🧆,\U0001f9c6,eat & drink,False
🌮,\U0001f32e,eat & drink,False
🌯,\U0001f32f,eat & drink,False
🫔,\U0001fad4,eat & drink,False
🥗,\U0001f957,eat & drink,False
🥘,\U0001f958,eat & drink,False
🫕,\U0001fad5,eat & drink,False
🥫,\U0001f96b,eat & drink,False
🫙,\U0001fad9,eat & drink,False
🍝,\U0001f35d,eat & drink,False
🍜,\U0001f35c,eat & drink,False
🍲,\U0001f372,eat & drink,False
🍛,\U0001f35b,eat & drink,False
🍣,\U0001f363,eat & drink,False
🍱,\U0001f371,eat & drink,False
🥟,\U0001f95f,eat & drink,False
🦪,\U0001f9aa,eat & drink,False
🍤,\U0001f364,eat & drink,False
🍙,\U0001f359,eat & drink,False
🍚,\U0001f35a,eat & drink,False
🍘,\U0001f358,eat & drink,False
🍥,\U0001f365,eat & drink,False
🥠,\U0001f960,eat & drink,False
🥮,\U0001f96e,eat & drink,False
🍢,\U0001f362,eat & drink,False
🍡,\U0001f361,eat & drink,False
🍧,\U0001f367,eat & drink,False
🍨,\U0001f368,eat & drink,False
🍦,\U0001f366,eat & drink,False
🥧,\U0001f967,eat & drink,False
🧁,\U0001f9c1,eat & drink,False
🍰,\U0001f370,eat & drink,False
🎂,\U0001f382,eat & drink,False
🍮,\U0001f36e,eat & drink,False
🍭,\U0001f36d,eat & drink,False
🍬,\U0001f36c,eat & drink,False
🍫,\U0001f36b,eat & drink,False
🍿,\U0001f37f,eat & drink,False
🍩,\U0001f369,eat & drink,False
🍪,\U0001f36a,eat & drink,False
🌰,\U0001f330,eat & drink,False
🥜,\U0001f95c,eat & drink,False
🫘,\U0001fad8,eat & drink,False
🍯,\U0001f36f,eat & drink,False
🥛,\U0001f95b,eat & drink,False
🫗,\U0001fad7,eat & drink,False
🍼,\U0001f37c,eat & drink,False
🫖,\U0001fad6,eat & drink,False
☕,\u2615,eat & drink,False
🍵,\U0001f375,eat & drink,False
🧃,\U0001f9c3,eat & drink,False
🥤,\U0001f964,eat & drink,False
🧋,\U0001f9cb,eat & drink,False
🍶,\U0001f376,eat & drink,False
🍺,\U0001f37a,eat & drink,False
🍻,\U0001f37b,eat & drink,False
🥂,\U0001f942,eat & drink,False
🍷,\U0001f377,eat & drink,False
🥃,\U0001f943,eat & drink,False
🍸,\U0001f378,eat & drink,False
🍹,\U0001f379,eat & drink,False
🧉,\U0001f9c9,eat & drink,False
🍾,\U0001f37e,eat & drink,False
🧊,\U0001f9ca,eat & drink,False
🥄,\U0001f944,eat & drink,False
🍴,\U0001f374,eat & drink,False
🍽️,\U0001f37d\ufe0f,eat & drink,False
🥣,\U0001f963,eat & drink,False
🥡,\U0001f961,eat & drink,False
🥢,\U0001f962,eat & drink,False
🧂,\U0001f9c2,eat & drink,False
⚽,\u26bd,activities,False
🏀,\U0001f3c0,activities,False
🏈,\U0001f3c8,activities,False
⚾,\u26be,activities,False
🥎,\U0001f94e,activities,False
🎾,\U0001f3be,activities,False
🏐,\U0001f3d0,activities,False
🏉,\U0001f3c9,activities,False
🥏,\U0001f94f,activities,False
🎱,\U0001f3b1,activities,False
🪀,\U0001fa80,activities,False
🏓,\U0001f3d3,activities,False
🏸,\U0001f3f8,activities,False
🏒,\U0001f3d2,activities,False
🏑,\U0001f3d1,activities,False
🥍,\U0001f94d,activities,False
🏏,\U0001f3cf,activities,False
🪃,\U0001fa83,activities,False
🥅,\U0001f945,activities,False
⛳,\u26f3,activities,False
🪁,\U0001fa81,activities,False
🛝,\U0001f6dd,activities,False
🏹,\U0001f3f9,activities,False
🎣,\U0001f3a3,activities,False
🤿,\U0001f93f,activities,False
🥊,\U0001f94a,activities,False
🥋,\U0001f94b,activities,False
🎽,\U0001f3bd,activities,False
🛹,\U0001f6f9,activities,False
🛼,\U0001f6fc,activities,False
🛷,\U0001f6f7,activities,False
⛸️,\u26f8\ufe0f,activities,False
🥌,\U0001f94c,activities,False
🎿,\U0001f3bf,activities,False
⛷️,\u26f7\ufe0f,activities,False
🏂,\U0001f3c2,activities,False
🪂,\U0001fa82,activities,False
🏋️‍♀️,\U0001f3cb\ufe0f\u200d\u2640\ufe0f,activities,True
🏋️‍♂️,\U0001f3cb\ufe0f\u200d\u2642\ufe0f,activities,True
🤼‍♀️,\U0001f93c\u200d\u2640\ufe0f,activities,False
🤼‍♂️,\U0001f93c\u200d\u2642\ufe0f,activities,False
🤸‍♀️,\U0001f938\u200d\u2640\ufe0f,activities,True
🤸,\U0001f938,activities,True
🤸‍♂️,\U0001f938\u200d\u2642\ufe0f,activities,True
⛹️‍♀️,\u26f9\ufe0f\u200d\u2640\ufe0f,activities,True
⛹️,\u26f9\ufe0f,activities,True
⛹️‍♂️,\u26f9\ufe0f\u200d\u2642\ufe0f,activities,True
🤺,\U0001f93a,activities,False
🤾‍♀️,\U0001f93e\u200d\u2640\ufe0f,activities,True
🤾,\U0001f93e,activities,True
🤾‍♂️,\U0001f93e\u200d\u2642\ufe0f,activities,True
🏌️‍♀️,\U0001f3cc\ufe0f\u200d\u2640\ufe0f,activities,True
🏌️,\U0001f3cc\ufe0f,activities,True
🏌️‍♂️,\U0001f3cc\ufe0f\u200d\u2642\ufe0f,activities,True
🏇,\U0001f3c7,activities,True
🧘‍♀️,\U0001f9d8\u200d\u2640\ufe0f,activities,True
🧘,\U0001f9d8,activities,True
🧘‍♂️,\U0001f9d8\u200d\u2642\ufe0f,activities,True
🏄‍♀️,\U0001f3c4\u200d\u2640\ufe0f,activities,True
🏄,\U0001f3c4,activities,True
🏄‍♂️,\U0001f3c4\u200d\u2642\ufe0f,activities,True
🏊‍♀️,\U0001f3ca\u200d\u2640\ufe0f,activities,True
🏊,\U0001f3ca,activities,True
🏊‍♂️,\U0001f3ca\u200d\u2642\ufe0f,activities,True
🤽‍♀️,\U0001f93d\u200d\u2640\ufe0f,activities,True
🤽,\U0001f93d,activities,True
🤽‍♂️,\U0001f93d\u200d\u2642\ufe0f,activities,True
🚣‍♀️,\U0001f6a3\u200d\u2640\ufe0f,activities,True
🚣,\U0001f6a3,activities,True
🚣‍♂️,\U0001f6a3\u200d\u2642\ufe0f,activities,True
🧗‍♀️,\U0001f9d7\u200d\u2640\ufe0f,activities,True
🧗,\U0001f9d7,activities,True
🧗‍♂️,\U0001f9d7\u200d\u2642\ufe0f,activities,True
🚵‍♀️,\U0001f6b5\u200d\u2640\ufe0f,activities,True
🚵,\U0001f6b5,activities,True
🚵‍♂️,\U0001f6b5\u200d\u2642\ufe0f,activities,True
🚴‍♀️,\U0001f6b4\u200d\u2640\ufe0f,activities,True
🚴,\U0001f6b4,activities,True
🚴‍♂️,\U0001f6b4\u200d\u2642\ufe0f,activities,True
🏆,\U0001f3c6,activities,False
🥇,\U0001f947,activities,False
🥈,\U0001f948,activities,False
🥉,\U0001f949,activities,False
🏅,\U0001f3c5,activities,False
🎖️,\U0001f396\ufe0f,activities,False
🏵️,\U0001f3f5\ufe0f,activities,False
🎗️,\U0001f397\ufe0f,activities,False
🎫,\U0001f3ab,activities,False
🎟️,\U0001f39f\ufe0f,activities,False
🎪,\U0001f3aa,activities,False
🤹‍♀️,\U0001f939\u200d\u2640\ufe0f,activities,True
🤹‍♂️,\U0001f939\u200d\u2642\ufe0f,activities,True
🎭,\U0001f3ad,activities,False
🩰,\U0001fa70,activities,False
🎨,\U0001f3a8,activities,False
🎬,\U0001f3ac,activities,False
🎤,\U0001f3a4,activities,False
🎧,\U0001f3a7,activities,False
🎼,\U0001f3bc,activities,False
🎹,\U0001f3b9,activities,False
🪇,\U0001fa87,activities,False
🥁,\U0001f941,activities,False
🪘,\U0001fa98,activities,False
🎷,\U0001f3b7,activities,False
🎺,\U0001f3ba,activities,False
🪗,\U0001fa97,activities,False
🎸,\U0001f3b8,activities,False
🪕,\U0001fa95,activities,False
🎻,\U0001f3bb,activities,False
🪈,\U0001fa88,activities,False
🎲,\U0001f3b2,activities,False
♟️,\u265f\ufe0f,activities,False
🎯,\U0001f3af,activities,False
🎳,\U0001f3b3,activities,False
🎮,\U0001f3ae,activities,False
🎰,\U0001f3b0,activities,False
🧩,\U0001f9e9,activities,False
🚗,\U0001f697,travel & places,False
🚕,\U0001f695,travel & places,False
🚙,\U0001f699,travel & places,False
🚌,\U0001f68c,travel & places,False
🚎,\U0001f68e,travel & places,False
🏎️,\U0001f3ce\ufe0f,travel & places,False
🚓,\U0001f693,travel & places,False
🚑,\U0001f691,travel & places,False
🚒,\U0001f692,travel & places,False
🚐,\U0001f690,travel & places,False
🛻,\U0001f6fb,travel & places,False
🚚,\U0001f69a,travel & places,False
🚛,\U0001f69b,travel & places,False
🚜,\U0001f69c,travel & places,False
🦯,\U0001f9af,travel & places,False
🦽,\U0001f9bd,travel & places,False
🦼,\U0001f9bc,travel & places,False
🩼,\U0001fa7c,travel & places,False
🛴,\U0001f6f4,travel & places,False
🚲,\U0001f6b2,travel & places,False
🛵,\U0001f6f5,travel & places,False
🏍️,\U0001f3cd\ufe0f,travel & places,False
🛺,\U0001f6fa,travel & places,False
🛞,\U0001f6de,travel & places,False
🚨,\U0001f6a8,travel & places,False
🚔,\U0001f694,travel & places,False
🚍,\U0001f68d,travel & places,False
🚘,\U0001f698,travel & places,False
🚖,\U0001f696,travel & places,False
🚡,\U0001f6a1,travel & places,False
🚠,\U0001f6a0,travel & places,False
🚟,\U0001f69f,travel & places,False
🚃,\U0001f683,travel & places,False
🚋,\U0001f68b,travel & places,False
🚞,\U0001f69e,travel & places,False
🚝,\U0001f69d,travel & places,False
🚄,\U0001f684,travel & places,False
🚅,\U0001f685,travel & places,False
🚈,\U0001f688,travel & places,False
🚂,\U0001f682,travel & places,False
🚆,\U0001f686,travel & places,False
🚇,\U0001f687,travel & places,False
🚊,\U0001f68a,travel & places,False
🚉,\U0001f689,travel & places,False
✈️,\u2708\ufe0f,travel & places,False
🛫,\U0001f6eb,travel & places,False
🛬,\U0001f6ec,travel & places,False
🛩️,\U0001f6e9\ufe0f,travel & places,False
💺,\U0001f4ba,travel & places,False
🛰️,\U0001f6f0\ufe0f,travel & places,False
🚀,\U0001f680,travel & places,False
🛸,\U0001f6f8,travel & places,False
🚁,\U0001f681,travel & places,False
🛶,\U0001f6f6,travel & places,False
⛵,\u26f5,travel & places,False
🚤,\U0001f6a4,travel & places,False
🛥️,\U0001f6e5\ufe0f,travel & places,False
🛳️,\U0001f6f3\ufe0f,travel & places,False
⛴️,\u26f4\ufe0f,travel & places,False
🚢,\U0001f6a2,travel & places,False
🛟,\U0001f6df,travel & places,False
⚓,\u2693,travel & places,False
🪝,\U0001fa9d,travel & places,False
⛽,\u26fd,travel & places,False
🚧,\U0001f6a7,travel & places,False
🚦,\U0001f6a6,travel & places,False
🚥,\U0001f6a5,travel & places,False
🚏,\U0001f68f,travel & places,False
🗺️,\U0001f5fa\ufe0f,travel & places,False
🗿,\U0001f5ff,travel & places,False
🗽,\U0001f5fd,travel & places,False
🗼,\U0001f5fc,travel & places,False
🏰,\U0001f3f0,travel & places,False
🏯,\U0001f3ef,travel & places,False
🏟️,\U0001f3df\ufe0f,travel & places,False
🎡,\U0001f3a1,travel & places,False
🎢,\U0001f3a2,travel & places,False
🎠,\U0001f3a0,travel & places,False
⛲,\u26f2,travel & places,False
⛱️,\u26f1\ufe0f,travel & places,False
🏖️,\U0001f3d6\ufe0f,travel & places,False
🏝️,\U0001f3dd\ufe0f,travel & places,False
🏜️,\U0001f3dc\ufe0f,travel & places,False
🌋,\U0001f30b,travel & places,False
⛰️,\u26f0\ufe0f,travel & places,False
🏔️,\U0001f3d4\ufe0f,travel & places,False
🗻,\U0001f5fb,travel & places,False
🏕️,\U0001f3d5\ufe0f,travel & places,False
⛺,\u26fa,travel & places,False
🛖,\U0001f6d6,travel & places,False
🏠,\U0001f3e0,travel & places,False
🏡,\U0001f3e1,travel & places,False
🏘️,\U0001f3d8\ufe0f,travel & places,False
🏚️,\U0001f3da\ufe0f,travel & places,False
🏗️,\U0001f3d7\ufe0f,travel & places,False
🏭,\U0001f3ed,travel & places,False
🏢,\U0001f3e2,travel & places,False
🏬,\U0001f3ec,travel & places,False
🏣,\U0001f3e3,travel & places,False
🏤,\U0001f3e4,travel & places,False
🏥,\U0001f3e5,travel & places,False
🏦,\U0001f3e6,travel & places,False
🏨,\U0001f3e8,travel & places,False
🏪,\U0001f3ea,travel & places,False
🏫,\U0001f3eb,travel & places,False
🏩,\U0001f3e9,travel & places,False
💒,\U0001f492,travel & places,False
🏛️,\U0001f3db\ufe0f,travel & places,False
⛪,\u26ea,travel & places,False
🕌,\U0001f54c,travel & places,False
🕍,\U0001f54d,travel & places,False
🛕,\U0001f6d5,travel & places,False
🕋,\U0001f54b,travel & places,False
⛩️,\u26e9\ufe0f,travel & places,False
🛤️,\U0001f6e4\ufe0f,travel & places,False
🛣️,\U0001f6e3\ufe0f,travel & places,False
🗾,\U0001f5fe,travel & places,False
🎑,\U0001f391,travel & places,False
🏞️,\U0001f3de\ufe0f,travel & places,False
🌅,\U0001f305,travel & places,False
🌄,\U0001f304,travel & places,False
🌠,\U0001f320,travel & places,False
🎇,\U0001f387,travel & places,False
🎆,\U0001f386,travel & places,False
🌇,\U0001f307,travel & places,False
🌆,\U0001f306,travel & places,False
🏙️,\U0001f3d9\ufe0f,travel & places,False
🌃,\U0001f303,travel & places,False
🌌,\U0001f30c,travel & places,False
🌉,\U0001f309,travel & places,False
🌁,\U0001f301,travel & places,False
⌚,\u231a,objects,False
📱,\U0001f4f1,objects,False
📲,\U0001f4f2,objects,False
💻,\U0001f4bb,objects,False
⌨️,\u2328\ufe0f,objects,False
🖥️,\U0001f5a5\ufe0f,objects,False
🖨️,\U0001f5a8\ufe0f,objects,False
🖱️,\U0001f5b1\ufe0f,objects,False
🖲️,\U0001f5b2\ufe0f,objects,False
🕹️,\U0001f579\ufe0f,objects,False
🗜️,\U0001f5dc\ufe0f,objects,False
💽,\U0001f4bd,objects,False
💾,\U0001f4be,objects,False
💿,\U0001f4bf,objects,False
📀,\U0001f4c0,objects,False
📼,\U0001f4fc,objects,False
📷,\U0001f4f7,objects,False
📸,\U0001f4f8,objects,False
📹,\U0001f4f9,objects,False
🎥,\U0001f3a5,objects,False
📽️,\U0001f4fd\ufe0f,objects,False
🎞️,\U0001f39e\ufe0f,objects,False
📞,\U0001f4de,objects,False
☎️,\u260e\ufe0f,objects,False
📟,\U0001f4df,objects,False
📠,\U0001f4e0,objects,False
📺,\U0001f4fa,objects,False
📻,\U0001f4fb,objects,False
🎙️,\U0001f399\ufe0f,objects,False
🎚️,\U0001f39a\ufe0f,objects,False
🎛️,\U0001f39b\ufe0f,objects,False
🧭,\U0001f9ed,objects,False
⏱️,\u23f1\ufe0f,objects,False
⏲️,\u23f2\ufe0f,objects,False
⏰,\u23f0,objects,False
🕰️,\U0001f570\ufe0f,objects,False
⌛,\u231b,objects,False
⏳,\u23f3,objects,False
📡,\U0001f4e1,objects,False
🔋,\U0001f50b,objects,False
🪫,\U0001faab,objects,False
🔌,\U0001f50c,objects,False
💡,\U0001f4a1,objects,False
🔦,\U0001f526,objects,False
🕯️,\U0001f56f\ufe0f,objects,False
🪔,\U0001fa94,objects,False
🧯,\U0001f9ef,objects,False
🛢️,\U0001f6e2\ufe0f,objects,False
💸,\U0001f4b8,objects,False
💵,\U0001f4b5,objects,False
💴,\U0001f4b4,objects,False
💶,\U0001f4b6,objects,False
💷,\U0001f4b7,objects,False
🪙,\U0001fa99,objects,False
💰,\U0001f4b0,objects,False
💳,\U0001f4b3,objects,False
🪪,\U0001faaa,objects,False
💎,\U0001f48e,objects,False
⚖️,\u2696\ufe0f,objects,False
🪜,\U0001fa9c,objects,False
🧰,\U0001f9f0,objects,False
🪛,\U0001fa9b,objects,False
🔧,\U0001f527,objects,False
🔨,\U0001f528,objects,False
⚒️,\u2692\ufe0f,objects,False
🛠️,\U0001f6e0\ufe0f,objects,False
⛏️,\u26cf\ufe0f,objects,False
🪚,\U0001fa9a,objects,False
🔩,\U0001f529,objects,False
⚙️,\u2699\ufe0f,objects,False
🪤,\U0001faa4,objects,False
🧱,\U0001f9f1,objects,False
⛓️,\u26d3\ufe0f,objects,False
🧲,\U0001f9f2,objects,False
🔫,\U0001f52b,objects,False
💣,\U0001f4a3,objects,False
🧨,\U0001f9e8,objects,False
🪓,\U0001fa93,objects,False
🔪,\U0001f52a,objects,False
🗡️,\U0001f5e1\ufe0f,objects,False
⚔️,\u2694\ufe0f,objects,False
🛡️,\U0001f6e1\ufe0f,objects,False
🚬,\U0001f6ac,objects,False
⚰️,\u26b0\ufe0f,objects,False
🪦,\U0001faa6,objects,False
⚱️,\u26b1\ufe0f,objects,False
🏺,\U0001f3fa,objects,False
🔮,\U0001f52e,objects,False
📿,\U0001f4ff,objects,False
🧿,\U0001f9ff,objects,False
🪬,\U0001faac,objects,False
💈,\U0001f488,objects,False
⚗️,\u2697\ufe0f,objects,False
🔭,\U0001f52d,objects,False
🔬,\U0001f52c,objects,False
🕳️,\U0001f573\ufe0f,objects,False
🩻,\U0001fa7b,objects,False
🩹,\U0001fa79,objects,False
🩺,\U0001fa7a,objects,False
💊,\U0001f48a,objects,False
💉,\U0001f489,objects,False
🩸,\U0001fa78,objects,False
🧬,\U0001f9ec,objects,False
🦠,\U0001f9a0,objects,False
🧫,\U0001f9eb,objects,False
🧪,\U0001f9ea,objects,False
🌡️,\U0001f321\ufe0f,objects,False
🧹,\U0001f9f9,objects,False
🪠,\U0001faa0,objects,False
🧺,\U0001f9fa,objects,False
🧻,\U0001f9fb,objects,False
🚽,\U0001f6bd,objects,False
🚰,\U0001f6b0,objects,False
🚿,\U0001f6bf,objects,False
🛁,\U0001f6c1,objects,False
🛀,\U0001f6c0,objects,True
🧼,\U0001f9fc,objects,False
🪥,\U0001faa5,objects,False
🪒,\U0001fa92,objects,False
🪮,\U0001faae,objects,False
🧽,\U0001f9fd,objects,False
🪣,\U0001faa3,objects,False
🧴,\U0001f9f4,objects,False
🛎️,\U0001f6ce\ufe0f,objects,False
🔑,\U0001f511,objects,False
🗝️,\U0001f5dd\ufe0f,objects,False
🚪,\U0001f6aa,objects,False
🪑,\U0001fa91,objects,False
🛋️,\U0001f6cb\ufe0f,objects,False
🛏️,\U0001f6cf\ufe0f,objects,False
🛌,\U0001f6cc,objects,True
🧸,\U0001f9f8,objects,False
🪆,\U0001fa86,objects,False
🖼️,\U0001f5bc\ufe0f,objects,False
🪞,\U0001fa9e,objects,False
🪟,\U0001fa9f,objects,False
🛍️,\U0001f6cd\ufe0f,objects,False
🛒,\U0001f6d2,objects,False
🎁,\U0001f381,objects,False
🎈,\U0001f388,objects,False
🎏,\U0001f38f,objects,False
🎀,\U0001f380,objects,False
🪄,\U0001fa84,objects,False
🪅,\U0001fa85,objects,False
🎊,\U0001f38a,objects,False
🎉,\U0001f389,objects,False
🎎,\U0001f38e,objects,False
🪭,\U0001faad,objects,False
🏮,\U0001f3ee,objects,False
🎐,\U0001f390,objects,False
🪩,\U0001faa9,objects,False
🧧,\U0001f9e7,objects,False
✉️,\u2709\ufe0f,objects,False
📩,\U0001f4e9,objects,False
📨,\U0001f4e8,objects,False
📧,\U0001f4e7,objects,False
💌,\U0001f48c,objects,False
📥,\U0001f4e5,objects,False
📤,\U0001f4e4,objects,False
📦,\U0001f4e6,objects,False
🏷️,\U0001f3f7\ufe0f,objects,False
🪧,\U0001faa7,objects,False
📪,\U0001f4ea,objects,False
📫,\U0001f4eb,objects,False
📬,\U0001f4ec,objects,False
📭,\U0001f4ed,objects,False
📮,\U0001f4ee,objects,False
📯,\U0001f4ef,objects,False
📜,\U0001f4dc,objects,False
📃,\U0001f4c3,objects,False
📄,\U0001f4c4,objects,False
📑,\U0001f4d1,objects,False
🧾,\U0001f9fe,objects,False
📊,\U0001f4ca,objects,False
📈,\U0001f4c8,objects,False
📉,\U0001f4c9,objects,False
🗒️,\U0001f5d2\ufe0f,objects,False
🗓️,\U0001f5d3\ufe0f,objects,False
📆,\U0001f4c6,objects,False
📅,\U0001f4c5,objects,False
🗑️,\U0001f5d1\ufe0f,objects,False
📇,\U0001f4c7,objects,False
🗃️,\U0001f5c3\ufe0f,objects,False
🗳️,\U0001f5f3\ufe0f,objects,False
🗄️,\U0001f5c4\ufe0f,objects,False
📋,\U0001f4cb,objects,False
📁,\U0001f4c1,objects,False
📂,\U0001f4c2,objects,False
🗂️,\U0001f5c2\ufe0f,objects,False
🗞️,\U0001f5de\ufe0f,objects,False
📰,\U0001f4f0,objects,False
📓,\U0001f4d3,objects,False
📔,\U0001f4d4,objects,False
📒,\U0001f4d2,objects,False
📕,\U0001f4d5,objects,False
📗,\U0001f4d7,objects,False
📘,\U0001f4d8,objects,False
📙,\U0001f4d9,objects,False
📚,\U0001f4da,objects,False
📖,\U0001f4d6,objects,False
🔖,\U0001f516,objects,False
🧷,\U0001f9f7,objects,False
🔗,\U0001f517,objects,False
📎,\U0001f4ce,objects,False
🖇️,\U0001f587\ufe0f,objects,False
📐,\U0001f4d0,objects,False
📏,\U0001f4cf,objects,False
🧮,\U0001f9ee,objects,False
📌,\U0001f4cc,objects,False
📍,\U0001f4cd,objects,False
✂️,\u2702\ufe0f,objects,False
🖊️,\U0001f58a\ufe0f,objects,False
🖋️,\U0001f58b\ufe0f,objects,False
✒️,\u2712\ufe0f,objects,False
🖌️,\U0001f58c\ufe0f,objects,False
🖍️,\U0001f58d\ufe0f,objects,False
📝,\U0001f4dd,objects,False
✏️,\u270f\ufe0f,objects,False
🔍,\U0001f50d,objects,False
🔎,\U0001f50e,objects,False
🔏,\U0001f50f,objects,False
🔐,\U0001f510,objects,False
🔒,\U0001f512,objects,False
🔓,\U0001f513,objects,False
🩷,\U0001fa77,symbols,False
❤️,\u2764\ufe0f,symbols,False
🧡,\U0001f9e1,symbols,False
💛,\U0001f49b,symbols,False
💚,\U0001f49a,symbols,False
🩵,\U0001fa75,symbols,False
💙,\U0001f499,symbols,False
💜,\U0001f49c,symbols,False
🖤,\U0001f5a4,symbols,False
🩶,\U0001fa76,symbols,False
🤍,\U0001f90d,symbols,False
