emoji,unicode,category,unicodename
🤑,\U0001f911,emojis & people,MONEY-MOUTH FACE
🤠,\U0001f920,emojis & people,FACE WITH COWBOY HAT
😈,\U0001f608,emojis & people,SMILING FACE WITH HORNS
👿,\U0001f47f,emojis & people,IMP
👹,\U0001f479,emojis & people,JAPANESE OGRE
👺,\U0001f47a,emojis & people,JAPANESE GOBLIN
🤡,\U0001f921,emojis & people,CLOWN FACE
💩,\U0001f4a9,emojis & people,PILE OF POO
👻,\U0001f47b,emojis & people,GHOST
💀,\U0001f480,emojis & people,SKULL
☠️,\u2620\ufe0f,emojis & people,---
👽,\U0001f47d,emojis & people,EXTRATERRESTRIAL ALIEN
👾,\U0001f47e,emojis & people,ALIEN MONSTER
🤖,\U0001f916,emojis & people,ROBOT FACE
🎃,\U0001f383,emojis & people,JACK-O-LANTERN
😺,\U0001f63a,emojis & people,SMILING CAT FACE WITH OPEN MOUTH
😸,\U0001f638,emojis & people,GRINNING CAT FACE WITH SMILING EYES
😹,\U0001f639,emojis & people,CAT FACE WITH TEARS OF JOY
😻,\U0001f63b,emojis & people,SMILING CAT FACE WITH HEART-SHAPED EYES
😼,\U0001f63c,emojis & people,CAT FACE WITH WRY SMILE
😽,\U0001f63d,emojis & people,KISSING CAT FACE WITH CLOSED EYES
🙀,\U0001f640,emojis & people,WEARY CAT FACE
😿,\U0001f63f,emojis & people,CRYING CAT FACE
😾,\U0001f63e,emojis & people,POUTING CAT FACE
🫶,\U0001faf6,emojis & people,---
🫶🏻,\U0001faf6\U0001f3fb,emojis & people,---
🫶🏼,\U0001faf6\U0001f3fc,emojis & people,---
🫶🏽,\U0001faf6\U0001f3fd,emojis & people,---
🫶🏾,\U0001faf6\U0001f3fe,emojis & people,---
🫶🏿,\U0001faf6\U0001f3ff,emojis & people,---
🤲,\U0001f932,emojis & people,PALMS UP TOGETHER
🤲🏻,\U0001f932\U0001f3fb,emojis & people,---
🤲🏼,\U0001f932\U0001f3fc,emojis & people,---
🤲🏽,\U0001f932\U0001f3fd,emojis & people,---
🤲🏾,\U0001f932\U0001f3fe,emojis & people,---
🤲🏿,\U0001f932\U0001f3ff,emojis & people,---
👐,\U0001f450,emojis & people,OPEN HANDS SIGN
👐🏻,\U0001f450\U0001f3fb,emojis & people,---
👐🏼,\U0001f450\U0001f3fc,emojis & people,---
👐🏽,\U0001f450\U0001f3fd,emojis & people,---
👐🏾,\U0001f450\U0001f3fe,emojis & people,---
👐🏿,\U0001f450\U0001f3ff,emojis & people,---
🙌,\U0001f64c,emojis & people,PERSON RAISING BOTH HANDS IN CELEBRATION
🙌🏻,\U0001f64c\U0001f3fb,emojis & people,---
🙌🏼,\U0001f64c\U0001f3fc,emojis & people,---
🙌🏽,\U0001f64c\U0001f3fd,emojis & people,---
🙌🏾,\U0001f64c\U0001f3fe,emojis & people,---
🙌🏿,\U0001f64c\U0001f3ff,emojis & people,---
👏,\U0001f44f,emojis & people,CLAPPING HANDS SIGN
👏🏻,\U0001f44f\U0001f3fb,emojis & people,---
👏🏼,\U0001f44f\U0001f3fc,emojis & people,---
👏🏽,\U0001f44f\U0001f3fd,emojis & people,---
👏🏾,\U0001f44f\U0001f3fe,emojis & people,---
👏🏿,\U0001f44f\U0001f3ff,emojis & people,---
🤝,\U0001f91d,emojis & people,HANDSHAKE
🤝🏻,\U0001f91d\U0001f3fb,emojis & people,---
🫱🏻‍🫲🏼,\U0001faf1\U0001f3fb\u200d\U0001faf2\U0001f3fc,emojis & people,---
🫱🏻‍🫲🏽,\U0001faf1\U0001f3fb\u200d\U0001faf2\U0001f3fd,emojis & people,---
